q_group_key,hkl,branch,table,row,point_type,source,selection_origin,detector_display_x,detector_display_y,detector_native_x,detector_native_y,caked_2theta,caked_phi,residual_2theta,residual_phi_wrapped,residual_norm
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",0,356,13,sim_saved_caked,entry_visual_caked,caked,496.1643675627729,1304.0690527502804,1304.0690527502804,2502.835632437227,53.13016180563768,73.03084162751375,,,
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",0,356,13,sim_nominal_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1694.9309472497196,496.1643675627729,1304.0690527502804,2502.835632437227,53.12445185737966,73.23183541008285,,,
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",0,356,13,sim_refined_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1694.9309472497196,496.1643675627729,1304.0690527502804,2502.835632437227,53.12445185737966,73.23183541008285,0.14283360206004403,0.9917580410819653,1.0019907434343813
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",1,356,161,manual_release_saved_caked,raw_caked_x/raw_caked_y,caked,2437.145251614307,1309.554708812961,1309.554708812961,561.8547483856928,53.81548220918482,-73.7818129124309,,,
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",1,356,161,manual_release_fitspace_caked,raw_detector_native_px+fit_space_projector,caked,2437.145251614307,1309.554708812961,1309.554708812961,561.8547483856928,53.828578447414905,-73.75,,,
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",1,356,161,manual_saved_caked,entry_caked_deg,caked,2468.253599816379,1305.605008188723,1305.605008188723,530.7464001836211,54.62486379972498,-74.04761908090259,,,
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",1,356,161,manual_fitspace_caked,entry_detector_native+fit_space_projector,caked,2468.253599816379,1305.605008188723,1305.605008188723,530.7464001836211,54.623378511029124,-74.2135114484198,,,
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",1,356,161,fit_observed,background/manual,caked,2469.037745196339,1308.561107063712,1305.605008188723,530.7464001836211,54.623378511029124,-74.2135114484198,,,
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",1,356,161,sim_saved_caked,entry_visual_caked,caked,2421.7419638208025,1307.4636867162253,1307.4636867162253,577.2580361791975,53.43448437752808,-73.42436691438843,,,
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",1,356,161,sim_nominal_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1691.5363132837747,2421.7419638208025,1307.4636867162253,577.2580361791975,53.427061756928204,-73.25,,,
"('q_group', 'primary', 4, 5)","(-2, 0, 5)",1,356,161,sim_refined_x0,dynamic_trial_simulation:locked_manual_qr_fit_prediction,caked,1691.5363132837747,2421.7419638208025,1307.4636867162253,577.2580361791975,53.427061756928204,-73.25,-1.1963167541009199,0.9635114484198084,1.5360755474190055
