stage,q_group_key,hkl,branch,table,row,point_type,two_theta,phi,residual_2theta,residual_phi_wrapped,residual_norm,refinement_status,source
predicted_trial_refined,"('q_group', 'primary', 3, 6)","(-2, 1, 6)",0,280,29,predicted_refined,47.68234562680101,66.94863842487035,-4.736998634913334,1.198638424870353,4.886296157699252,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_x0,"('q_group', 'primary', 4, 10)","(-2, 0, 10)",1,404,154,observed,67.11536249451282,-56.75,,,,,background/manual
predicted_x0_nominal,"('q_group', 'primary', 4, 10)","(-2, 0, 10)",1,404,154,predicted_nominal,61.33044694317491,-55.25,-5.78491555133791,1.5,5.976223551383532,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_x0_refined,"('q_group', 'primary', 4, 10)","(-2, 0, 10)",1,404,154,predicted_refined,61.33044694317491,-55.25,-5.78491555133791,1.5,5.976223551383532,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_trial,"('q_group', 'primary', 4, 10)","(-2, 0, 10)",1,404,154,observed,67.11536249451282,-56.75,,,,,background/manual
predicted_trial_nominal,"('q_group', 'primary', 4, 10)","(-2, 0, 10)",1,404,154,predicted_nominal,61.33044694317491,-55.25,-5.78491555133791,1.5,5.976223551383532,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_trial_refined,"('q_group', 'primary', 4, 10)","(-2, 0, 10)",1,404,154,predicted_refined,61.33044694317491,-55.25,-5.78491555133791,1.5,5.976223551383532,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_x0,"('q_group', 'primary', 4, 10)","(-2, 0, 10)",0,404,34,observed,65.47417543262446,54.749373234122345,,,,,background/manual
predicted_x0_nominal,"('q_group', 'primary', 4, 10)","(-2, 0, 10)",0,404,34,predicted_nominal,60.90190001103243,55.675543214231936,-4.572275421592032,0.9261699801095915,4.66513594260133,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_x0_refined,"('q_group', 'primary', 4, 10)","(-2, 0, 10)",0,404,34,predicted_refined,60.90190001103243,55.675543214231936,-4.572275421592032,0.9261699801095915,4.66513594260133,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_trial,"('q_group', 'primary', 4, 10)","(-2, 0, 10)",0,404,34,observed,65.47417543262446,54.749373234122345,,,,,background/manual
predicted_trial_nominal,"('q_group', 'primary', 4, 10)","(-2, 0, 10)",0,404,34,predicted_nominal,60.90190001103243,55.675543214231936,-4.572275421592032,0.9261699801095915,4.66513594260133,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_trial_refined,"('q_group', 'primary', 4, 10)","(-2, 0, 10)",0,404,34,predicted_refined,60.90190001103243,55.675543214231936,-4.572275421592032,0.9261699801095915,4.66513594260133,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_x0,"('q_group', 'primary', 4, 5)","(-2, 0, 5)",0,356,13,observed,57.98161825531962,72.24007736900089,,,,,background/manual
predicted_x0_nominal,"('q_group', 'primary', 4, 5)","(-2, 0, 5)",0,356,13,predicted_nominal,53.12445185737966,73.23183541008285,-4.857166397939956,0.9917580410819653,4.957383324832541,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_x0_refined,"('q_group', 'primary', 4, 5)","(-2, 0, 5)",0,356,13,predicted_refined,53.12445185737966,73.23183541008285,-4.857166397939956,0.9917580410819653,4.957383324832541,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_trial,"('q_group', 'primary', 4, 5)","(-2, 0, 5)",0,356,13,observed,57.98161825531962,72.24007736900089,,,,,background/manual
predicted_trial_nominal,"('q_group', 'primary', 4, 5)","(-2, 0, 5)",0,356,13,predicted_nominal,53.12445185737966,73.23183541008285,-4.857166397939956,0.9917580410819653,4.957383324832541,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_trial_refined,"('q_group', 'primary', 4, 5)","(-2, 0, 5)",0,356,13,predicted_refined,53.12445185737966,73.23183541008285,-4.857166397939956,0.9917580410819653,4.957383324832541,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_x0,"('q_group', 'primary', 4, 5)","(-2, 0, 5)",1,356,161,observed,59.623378511029124,-74.2135114484198,,,,,background/manual
predicted_x0_nominal,"('q_group', 'primary', 4, 5)","(-2, 0, 5)",1,356,161,predicted_nominal,53.427061756928204,-73.25,-6.19631675410092,0.9635114484198084,6.270781101935212,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_x0_refined,"('q_group', 'primary', 4, 5)","(-2, 0, 5)",1,356,161,predicted_refined,53.427061756928204,-73.25,-6.19631675410092,0.9635114484198084,6.270781101935212,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
observed_trial,"('q_group', 'primary', 4, 5)","(-2, 0, 5)",1,356,161,observed,59.623378511029124,-74.2135114484198,,,,,background/manual
predicted_trial_nominal,"('q_group', 'primary', 4, 5)","(-2, 0, 5)",1,356,161,predicted_nominal,53.427061756928204,-73.25,-6.19631675410092,0.9635114484198084,6.270781101935212,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
predicted_trial_refined,"('q_group', 'primary', 4, 5)","(-2, 0, 5)",1,356,161,predicted_refined,53.427061756928204,-73.25,-6.19631675410092,0.9635114484198084,6.270781101935212,refined,dynamic_trial_simulation:locked_manual_qr_fit_prediction
