phi_deg,none disabled,L<=0.01 disabled,L<=0.02 disabled,L<=0.03 disabled,L<=0.04 disabled,L<=0.05 disabled,L<=0.06 disabled,L<=0.07 disabled,L<=0.08 disabled,L<=0.09 disabled,L<=0.10 disabled,L<=0.11 disabled,L<=0.12 disabled,L<=0.13 disabled,L<=0.14 disabled,L<=0.15 disabled,L<=0.16 disabled,L<=0.17 disabled,L<=0.18 disabled,L<=0.19 disabled
-6.75,1.1493003576668498e+19,6.707157093629471e+17,6.706432010818313e+17,2.1016726844541603e+17,2.1015688653448717e+17,9.714385769072421e+16,9.714043738530394e+16,5.203450993895623e+16,5.203297768679887e+16,3.0081222917598924e+16,3.0080422922055204e+16,1.7894344680310402e+16,1.7893866120000186e+16,1.0106405362421194e+16,1.0106088337722838e+16,4830788437271934.0,4830576551265741.0,1674451553011208.0,1674334479057823.2,58746339404.914314
-6.25,1.1466853890640316e+19,6.63486809169334e+17,6.634146306574758e+17,2.0828933027120957e+17,2.0827915264206803e+17,9.832736793675837e+16,9.832405666178408e+16,5.462955432246131e+16,5.4628040650970616e+16,3.2353760806625124e+16,3.2352928416990844e+16,1.9653244598425824e+16,1.965275107050264e+16,1.1749141605737362e+16,1.1748822429343874e+16,6411908601833592.0,6411686651203737.0,2700647231693202.0,2700487571845641.5,110374670274.73409
-5.75,1.1976958913794015e+19,6.573479170080197e+17,6.572765977847493e+17,2.059988108173155e+17,2.059886608503862e+17,9.700185318059794e+16,9.699859919158443e+16,5.446317869911627e+16,5.44617129181632e+16,3.2918504391123444e+16,3.2917695124652372e+16,2.0287766744670244e+16,2.0287262534416356e+16,1.2019866777020474e+16,1.2019533529201312e+16,6519174828074231.0,6518949837164411.0,2785577408954091.0,2785416369503998.5,121787801812.63333
-5.25,1.65256201519824e+19,6.962716933850177e+17,6.961846069502418e+17,2.0370058992300355e+17,2.036903573184032e+17,9.61629736862678e+16,9.615973822387246e+16,5.371224735278751e+16,5.3710791558014584e+16,3.2474103509932508e+16,3.247331278448725e+16,2.0257507708002296e+16,2.025702378275109e+16,1.2326288855769462e+16,1.2325961622205358e+16,6756685260491313.0,6756451116009695.0,2855443983341182.0,2855276955789104.0,123688465763.43416
-4.75,3.0162639246283e+19,1.0110657170973606e+18,1.010904093003495e+18,2.2207624997859437e+17,2.2206252220430045e+17,9.584745259427387e+16,9.584397786553189e+16,5.321626355615954e+16,5.321482132248461e+16,3.2056497135089056e+16,3.20557072169057e+16,1.987314411339804e+16,1.987266288112195e+16,1.202841411965994e+16,1.2028094502411346e+16,6659527829339340.0,6659303821579382.0,2881802235671524.5,2881637217698614.5,126641078669.95375
-4.25,3.3645436429468058e+19,1.5144196951037652e+18,1.5142181443346813e+18,3.406135212406776e+17,3.405896780336436e+17,1.1832499294828266e+17,1.1831931986644869e+17,5.549873681237865e+16,5.549686883388036e+16,3.1797024736292476e+16,3.1796227441903844e+16,1.9738388432800452e+16,1.973790890593616e+16,1.1896819543675798e+16,1.1896500095428548e+16,6534124822947109.0,6533901610031569.0,2798494851051610.5,2798333187921102.5,122384793334.83485
-3.75,3.383249731755143e+19,1.6459131503564475e+18,1.6457096453446364e+18,4.357761900484316e+17,4.3575067369613664e+17,1.7473870197269933e+17,1.7473115937110838e+17,8.077256569429128e+16,8.076951577757944e+16,4.019125120958294e+16,4.018986517221416e+16,2.1367325999626828e+16,2.1366680537576428e+16,1.2085441658815956e+16,1.2085090892937796e+16,6525994012297873.0,6525770531108939.0,2797787525192679.0,2797625988907109.0,122334418474.8408
-3.25,3.3870349016511685e+19,1.6703910621904113e+18,1.670187472620615e+18,4.5975128014720486e+17,4.597257531926583e+17,1.980742669836944e+17,1.9806665734603866e+17,1.0207005598878109e+17,1.0206682371676678e+17,5.674197571839843e+16,5.674032488287808e+16,3.1940021879523664e+16,3.193907494446777e+16,1.7272393686208822e+16,1.7271828985905632e+16,8546467943649199.0,8546128462065993.0,3301845489999990.0,3301638466602058.5,135098216119.14272
-2.75,3.3925162680177172e+19,1.6756148233058332e+18,1.6754110752315942e+18,4.64275343730728e+17,4.642498039629172e+17,2.0247119092189734e+17,2.02463577614437e+17,1.0642068117946926e+17,1.0641744734866765e+17,6.107074110395903e+16,6.1069089472310936e+16,3.618210879818538e+16,3.61811512695399e+16,2.1117109690916148e+16,2.1116506457194508e+16,1.135450365841819e+16,1.1354102946184118e+16,4706056845876234.0,4705776993653596.0,198173407050.22238
-2.25,3.446085211536837e+19,1.6894846907299584e+18,1.689278090173294e+18,4.654829150698115e+17,4.6545719745688e+17,2.025609859980814e+17,2.0255335561292906e+17,1.0644735645475093e+17,1.0644412239756149e+17,6.110143943660086e+16,6.109978803818805e+16,3.621635140340999e+16,3.621539401112173e+16,2.11534976327047e+16,2.1152894484886772e+16,1.139228184759619e+16,1.1391881192425686e+16,4739217335819425.0,4738936734185994.0,201850683769.32117
