phi_deg,disabled: none,disabled L=0.20,disabled L=0.20..0.40,disabled L=0.20..0.60,disabled L=0.20..0.80,disabled L=0.20..1.00,disabled L=0.20..1.20,disabled L=0.20..1.40,disabled L=0.20..1.60,disabled L=0.20..1.80,disabled L=0.20..2.00,disabled L=0.20..2.20,disabled L=0.20..2.40,disabled L=0.20..2.60,disabled L=0.20..2.80,disabled L=0.20..3.00,disabled L=0.20..3.20,disabled L=0.20..3.40,disabled L=0.20..3.60,disabled L=0.20..3.80,disabled L=0.20..4.00,disabled L=0.20..4.20,disabled L=0.20..4.40,disabled L=0.20..4.60,disabled L=0.20..4.80,disabled L=0.20..5.00,disabled L=0.20..5.20,disabled L=0.20..5.40,disabled L=0.20..5.60,disabled L=0.20..5.80,disabled L=0.20..6.00
9.25,524272119652257.8,524262068778956.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.75,446644466233029.9,446634802820145.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.25,367712473775017.5,367703283079429.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.75,302082746853838.44,302074585902161.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.25,241694306382802.28,241689703797170.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.75,243336702630035.44,243332431919576.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.25,255131057393087.97,255126245974086.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.75,234142720051627.53,234137410272805.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.25,210894981639643.03,210889437921230.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.75,188270278738988.84,188264989609949.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
