phi_deg,none disabled,L<=0.01 disabled,L<=0.02 disabled,L<=0.03 disabled,L<=0.04 disabled,L<=0.05 disabled,L<=0.06 disabled,L<=0.07 disabled,L<=0.08 disabled,L<=0.09 disabled,L<=0.10 disabled,L<=0.11 disabled,L<=0.12 disabled,L<=0.13 disabled,L<=0.14 disabled,L<=0.15 disabled,L<=0.16 disabled,L<=0.17 disabled,L<=0.18 disabled,L<=0.19 disabled
-55.25,577467227740.2739,577467227740.2739,577467227740.2739,577467227740.2739,577467227740.2739,577467227740.2739,577467227740.2739,577467227740.2739,577467227578.5204,572853640615.2285,572852543937.7349,525150677661.8494,525147037184.26776,433317769372.9013,433310309506.93146,208876953408.66666,208864358306.10077,38838930809.09918,38834717909.76184,1120035.8201697157
-54.75,568334856122.4021,568334856122.4021,568334856122.4021,568334856122.4021,568334856122.4021,568334856122.4021,568334856122.4021,568334856122.4021,568334856015.3802,564547651509.4531,564546750969.369,525368596399.9438,525365486462.058,441308232382.894,441300834860.6154,212377730516.50446,212364863178.63052,39421248049.815475,39416979978.40092,1143931.9868002136
-54.25,562439892715.3732,562439892715.3732,562439892715.3732,562439892715.3732,562439892715.3732,562439892715.3732,562439892715.3732,562439892715.3732,562439892608.483,558740896538.9259,558740016999.9961,520475296038.53253,520472243504.1006,437557616700.5869,437550326134.9337,213040112097.07584,213027560520.11075,43854552121.53824,43850226719.929886,1357536.044458828
-53.75,569091167232.1879,569091167232.1879,569091167232.1879,569091167232.1879,569091167232.1879,569091167232.1879,569091167232.1879,569091167232.1879,569091167125.0404,565383263296.3247,565382381639.328,527025513264.8408,527022453379.4301,443908155234.9192,443900847112.4492,218813722766.9111,218801123874.71558,47640490110.2694,47635998743.275444,1501928.9454872368
-53.25,527118363139.86536,527118363139.86536,527118363139.86536,527118363139.86536,527118363139.86536,527118363139.86536,527118363139.86536,527118363139.86536,527118363108.0073,525072451245.729,525071964444.87036,503871983622.84143,503870065806.1184,441726472349.27295,441720064723.17664,233830864994.3526,233819015361.146,62687580592.08947,62682401732.294655,1880008.999444592
-52.75,422348088931.2087,422348088931.2087,422348088931.2087,422348088931.2087,422348088931.2087,422348088931.2087,422348088931.2087,422348088931.2087,422348088931.2087,422348089083.28937,422348089053.4766,422314622297.3885,422314032856.3211,384081296094.4184,384076799517.63885,241918638579.2291,241910576827.8898,97474090978.59297,97467769552.06004,2836035.5023977878
-52.25,391548733198.23914,391548733198.23914,391548733198.23914,391548733198.23914,391548733198.23914,391548733198.23914,391548733198.23914,391548733198.23914,391548733198.23914,391548733350.33044,391548733322.79486,391517819870.7168,391517315498.0189,360776423946.14514,360773398841.39886,274347651320.25983,274342485014.86185,139484676555.14478,139476606505.9948,4008017.9726373637
-51.75,392754105390.3871,392754105390.3871,392754105390.3871,392754105390.3871,392754105390.3871,392754105390.3871,392754105390.3871,392754105390.3871,392754105390.3871,392754105542.94666,392754105515.3263,392723096897.0216,392722590971.626,361887064415.9922,361884029998.5426,275192223149.62427,275187040939.8948,139914076361.84833,139905981469.27017,4020356.547635129
-51.25,426503847025.8322,426503847025.8322,426503847025.8322,426503847025.8322,426503847025.8322,426503847025.8322,426503847025.8322,426503847025.8322,426503847025.8322,426503847025.8322,426503846998.06946,426472717872.9507,426472212273.89545,395718526025.14374,395715507315.4345,308789836963.4164,308784448257.83923,159032145426.54504,159022983520.9429,4762547.786506471
-50.75,433254830375.7235,433254830375.7235,433254830375.7235,433254830375.7235,433254830375.7235,433254830375.7235,433254830375.7235,433254830375.7235,433254830375.7235,433254830375.7235,433254830351.5628,433227740087.3179,433227257510.27856,404420740647.4286,404418083408.30664,330488221900.88745,330483404146.4895,176228702214.7526,176218688968.8895,5411524.151999444
-50.25,417171165132.8276,417171165132.8276,417171165132.8276,417171165132.8276,417171165132.8276,417171165132.8276,417171165132.8276,417171165132.8276,417171165132.8276,417171165132.8276,417171165112.7945,417148702912.32983,417148221760.80634,388404640990.9892,388401984758.77893,314378348106.4732,314373578399.2547,166150479536.47693,166141003343.23315,5138244.944140211
-49.75,403519886491.55786,403519886491.55786,403519886491.55786,403519886491.55786,403519886491.55786,403519886491.55786,403519886491.55786,403519886491.55786,403519886491.55786,403519886491.55786,403519886475.4094,403501779988.98047,403501348981.65857,377742049369.0687,377739659945.1721,310346882883.85547,310342401361.0082,165484039416.84836,165474640159.9829,5122604.546620705
-49.25,332701766052.4353,332701766052.4353,332701766052.4353,332701766052.4353,332701766052.4353,332701766052.4353,332701766052.4353,332701766052.4353,332701766052.4353,332701766052.4353,332701766043.65344,332691919419.6488,332691636889.48804,315788262240.92346,315786676632.0525,269496462329.46396,269493124202.7633,151156442754.9941,151148429299.34177,5532623.851080616
-48.75,298257253428.13605,298257253428.13605,298257253428.13605,298257253428.13605,298257253428.13605,298257253428.13605,298257253428.13605,298257253428.13605,298257253428.13605,298257253428.13605,298257253419.57983,298247659767.379,298247581578.32526,293588312871.41156,293587779408.5993,270412503833.3785,270409925278.23282,157808978358.18417,157801023201.85263,6454918.047019401
-48.25,249036764488.75842,249036764488.75842,249036764488.75842,249036764488.75842,249036764488.75842,249036764488.75842,249036764488.75842,249036764488.75842,249036764488.75842,249036764488.75842,249036764488.75842,249036764488.83093,249036740461.83813,247576450068.5368,247576169802.57214,229099034432.56427,229096763641.36523,138707630018.16486,138701477364.65747,7349582.268493349
-47.75,221972931467.99026,221972931467.99026,221972931467.99026,221972931467.99026,221972931467.99026,221972931467.99026,221972931467.99026,221972931467.99026,221972931467.99026,221972931467.99026,221972931467.99026,221972931468.0627,221972907456.58905,220513560271.39285,220513280800.6374,202341497140.49567,202339355825.42264,122200839301.19478,122195533001.24272,6720637.642455907
-47.25,167448855949.109,167448855949.109,167448855949.109,167448855949.109,167448855949.109,167448855949.109,167448855949.109,167448855949.109,167448855949.109,167448855949.109,167448855949.109,167448855949.18152,167448843023.27518,166653292979.4477,166653090259.30896,152138923249.65475,152137308388.26248,100039155318.4834,100035804840.7142,7328596.231398255
-46.75,166353632292.7447,166353632292.7447,166353632292.7447,166353632292.7447,166353632292.7447,166353632292.7447,166353632292.7447,166353632292.7447,166353632292.7447,166353632292.7447,166353632292.7447,166353632292.7447,166353632292.75873,166332638395.30557,166332505211.8603,153554002099.71396,153552462130.06955,102139932225.63762,102136567145.9803,7538285.358484341
-46.25,165695640269.2684,165695640269.2684,165695640269.2684,165695640269.2684,165695640269.2684,165695640269.2684,165695640269.2684,165695640269.2684,165695640269.2684,165695640269.2684,165695640269.2684,165695640269.2684,165695640269.2684,165675173486.1441,165675040283.4048,152890428265.8948,152888887128.18762,101459187503.00182,101455828256.19629,7467842.7466176655
-45.75,160108176519.29636,160108176519.29636,160108176519.29636,160108176519.29636,160108176519.29636,160108176519.29636,160108176519.29636,160108176519.29636,160108176519.29636,160108176519.29636,160108176519.29636,160108176519.29636,160108176519.29636,160092964097.2203,160092831362.7094,147311680022.058,147310135929.4563,95578191845.4058,95574845891.00946,6701356.945824347
-45.25,146471696643.24637,146471696643.24637,146471696643.24637,146471696643.24637,146471696643.24637,146471696643.24637,146471696643.24637,146471696643.24637,146471696643.24637,146471696643.24637,146471696643.24637,146471696643.24637,146471696643.24637,146457444836.83914,146457332634.6231,135664399947.75531,135663096928.80307,90354920563.65187,90351842536.073,6238152.444891084
-44.75,90309642016.48145,90309642016.48145,90309642016.48145,90309642016.48145,90309642016.48145,90309642016.48145,90309642016.48145,90309642016.48145,90309642016.48145,90309642016.48145,90309642016.48145,90309642016.48145,90309642016.48145,90295360747.04776,90295331248.81117,87541925239.6986,87541598154.16222,71776851327.88283,71775246795.0715,6003038.212904615
