L_rlu,Qz_A_inv,F2,R_HT_p_0p01,I_HT_p_0p01,R_HT_p_0p001,I_HT_p_0p001,R_HT_p_0p0001,I_HT_p_0p0001,R_HT_p_0p0,I_HT_p_0p0
0.1,0.02194156064806393,585119.7222681667,1.047201029223288e-05,403613887775.7043,1.047201029223288e-05,403613887775.7043,1.047201029223288e-05,403613887775.7043,1.047201029223288e-05,403613887775.7043
0.101,0.02216097625454457,584735.6828178273,0.00503770731840504,194036679112994.53,0.00503770731840504,194036679112994.53,0.00503770731840504,194036679112994.53,0.00503770731840504,194036679112994.53
0.10200000000000001,0.02238039186102521,584347.9467469407,0.01925805384712163,741267950092428.4,0.01925805384712163,741267950092428.4,0.01925805384712163,741267950092428.4,0.01925805384712163,741267950092428.4
0.10300000000000001,0.02259980746750585,583956.520147177,0.04077946453618424,1568604060233605.5,0.04077946453618424,1568604060233605.5,0.04077946453618424,1568604060233605.5,0.04077946453618424,1568604060233605.5
0.10400000000000001,0.022819223073986487,583561.4091673904,0.06708868374780223,2578856280804520.0,0.06708868374780223,2578856280804520.0,0.06708868374780223,2578856280804520.0,0.06708868374780223,2578856280804520.0
0.105,0.023038638680467124,583162.6200134876,0.09531293463080942,3661278994208179.0,0.09531293463080942,3661278994208179.0,0.09531293463080942,3661278994208179.0,0.09531293463080942,3661278994208179.0
0.106,0.023258054286947764,582760.1589482984,0.12250612426390829,4702609938883049.0,0.12250612426390829,4702609938883049.0,0.12250612426390829,4702609938883049.0,0.12250612426390829,4702609938883049.0
0.107,0.023477469893428405,582354.0322914427,0.14593166333792795,5597935930592897.0,0.14593166333792795,5597935930592897.0,0.14593166333792795,5597935930592897.0,0.14593166333792795,5597935930592897.0
0.108,0.023696885499909042,581944.2464191973,0.16331530859203924,6260363902881526.0,0.16331530859203924,6260363902881526.0,0.16331530859203924,6260363902881526.0,0.16331530859203924,6260363902881526.0
0.109,0.023916301106389683,581530.8077643599,0.17304519516290326,6628626921650355.0,0.17304519516290326,6628626921650355.0,0.17304519516290326,6628626921650355.0,0.17304519516290326,6628626921650355.0
0.11,0.024135716712870323,581113.7228161163,0.17430199680619424,6671980951902110.0,0.17430199680619424,6671980951902110.0,0.17430199680619424,6671980951902110.0,0.17430199680619424,6671980951902110.0
0.111,0.02435513231935096,580692.9981198995,0.16710932618219076,6392026716606288.0,0.16710932618219076,6392026716606288.0,0.16710932618219076,6392026716606288.0,0.16710932618219076,6392026716606288.0
