L_rlu,Qz_A_inv,bandwidth_sigma_fraction,I_HT_raw_p_0p01,I_HT_bandwidth_avg_p_0p01,I_HT_raw_p_0p001,I_HT_bandwidth_avg_p_0p001,I_HT_raw_p_0p0001,I_HT_bandwidth_avg_p_0p0001,I_HT_raw_p_0p0,I_HT_bandwidth_avg_p_0p0
0.065,0.014262014421241554,0.006999999999999999,9549829210686592.0,9536186862414848.0,9549829210686592.0,9536186862414848.0,9549829210686592.0,9536186862414848.0,9549829210686592.0,9536186862414848.0
0.066,0.014481430027722194,0.006999999999999999,1.2124803104267864e+16,1.206031956725145e+16,1.2124803104267864e+16,1.206031956725145e+16,1.2124803104267864e+16,1.206031956725145e+16,1.2124803104267864e+16,1.206031956725145e+16
0.067,0.014700845634202833,0.006999999999999999,1.42711403743858e+16,1.4163363782887282e+16,1.42711403743858e+16,1.4163363782887282e+16,1.42711403743858e+16,1.4163363782887282e+16,1.42711403743858e+16,1.4163363782887282e+16
0.068,0.014920261240683472,0.006999999999999999,1.578494096018045e+16,1.564517965564134e+16,1.578494096018045e+16,1.564517965564134e+16,1.578494096018045e+16,1.564517965564134e+16,1.578494096018045e+16,1.564517965564134e+16
0.069,0.015139676847164113,0.006999999999999999,1.6534572141082836e+16,1.6376960277968154e+16,1.6534572141082836e+16,1.6376960277968154e+16,1.6534572141082836e+16,1.6376960277968154e+16,1.6534572141082836e+16,1.6376960277968154e+16
0.07,0.015359092453644752,0.006999999999999999,1.6468707639327872e+16,1.6308664927743988e+16,1.6468707639327872e+16,1.6308664927743988e+16,1.6468707639327872e+16,1.6308664927743988e+16,1.6468707639327872e+16,1.6308664927743988e+16
0.07100000000000001,0.015578508060125392,0.006999999999999999,1.561651524572508e+16,1.546941865402144e+16,1.561651524572508e+16,1.546941865402144e+16,1.561651524572508e+16,1.546941865402144e+16,1.561651524572508e+16,1.546941865402144e+16
0.07200000000000001,0.01579792366660603,0.006999999999999999,1.4080406569688612e+16,1.3960126681144732e+16,1.4080406569688612e+16,1.3960126681144732e+16,1.4080406569688612e+16,1.3960126681144732e+16,1.4080406569688612e+16,1.3960126681144732e+16
0.073,0.016017339273086666,0.006999999999999999,1.2022416030088214e+16,1.1939980636252934e+16,1.2022416030088214e+16,1.1939980636252934e+16,1.2022416030088214e+16,1.1939980636252934e+16,1.2022416030088214e+16,1.1939980636252934e+16
0.074,0.016236754879567307,0.006999999999999999,9645799563216060.0,9608398742251032.0,9645799563216060.0,9608398742251032.0,9645799563216060.0,9608398742251032.0,9645799563216060.0,9608398742251032.0
