L_rlu,Qz_A_inv,F_real,F_imag,F_abs,F2,R_HT_no_fault_N50,I_HT_no_fault_N50
7.131,1.5646526898134387,-17.60557504760668,-17.998710708509705,25.177566600557984,633.9098599255329,0.12192346632582997,5091035345880.849
7.132000000000001,1.5648721054199195,-17.646385857429106,-18.176354290645236,25.33327434676243,641.7747891283315,0.11143890882287366,4710975088129.75
7.133,1.5650915210264,-17.685716460807633,-18.35415740310086,25.488422091410136,649.6596607098843,0.0964311049115264,4126618757869.3545
7.134,1.5653109366328808,-17.723567605443886,-18.532110012995204,25.643009772616338,657.563950198497,0.07838923244882125,3395359091687.6733
7.135,1.5655303522393613,-17.75994010116118,-18.710202101606498,25.797037331441633,665.4871350797932,0.05905445820366083,2588711528274.6255
7.136,1.565749767845842,-17.794834819769832,-18.8884236647472,25.950504711890957,673.4286948018748,0.04024588708399307,1785272133779.7405
7.1370000000000005,1.5659691834523228,-17.828252694939774,-19.066764713129594,26.103411860913337,681.388110780471,0.02368385040804526,1063011994378.2736
7.138,1.5661885990588031,-17.860194722060815,-19.24521527273716,26.25575872839946,689.3648664039245,0.010827479962534881,491663352873.6954
7.139,1.566408014665284,-17.890661958106417,-19.423765385190908,26.4075452671803,697.3584470381767,0.0027416945438608308,125940797087.50291
7.140000000000001,1.5666274302717647,-17.919655521495656,-19.602405108114816,26.558771433025957,705.3683400317157,5.516018556050994e-06,256290781.45337898
7.141,1.5668468458782452,-17.947176591950303,-19.781124515503688,26.70943718464524,713.3940347205098,0.002669374066243648,125438315827.93385
7.142,1.567066261484726,-17.97322641035251,-19.959913698085806,26.859542483684013,721.4350224328264,0.010264184426538208,487767626410.9716
7.143,1.5672856770912065,-17.997806278594695,-20.138762763686977,27.009087294721528,729.4907964938878,0.021859973617815314,1050414612261.6553
7.144,1.5675050926976872,-18.020917559436754,-20.31766183759284,27.158071585272626,737.5608522307924,0.03616715338147003,1757128364698.6763
7.1450000000000005,1.5677245083041678,-18.042561676354637,-20.496601062909228,27.3064953257849,745.6446869771127,0.05166965548229143,2537808207107.6997
7.146,1.5679439239106483,-18.062740113385114,-20.67557060092253,27.454358489635553,753.7418000774237,0.0667763721763471,3315406049444.593
7.147,1.568163339517129,-18.08145441497375,-20.854560631460355,27.601661053132833,761.8516928920299,0.07997594407432558,4013480122230.928
7.148000000000001,1.5683827551236098,-18.09870618582021,-21.033561353246256,27.748402995513477,769.9738688014213,0.08997999460989065,4563659705480.908
7.149,1.5686021707300903,-18.114497090714785,-21.212562984259076,27.89458429894005,778.1078332106728,0.09584138701455344,4912292079895.786
7.15,1.568821586336571,-18.12882885438226,-21.391555762087766,28.040204948501948,786.2530935539932,0.0970367999867257,5025625671376.053
7.151,1.5690410019430516,-18.141703261318455,-21.570529944283855,28.185264932211993,794.4091592989791,0.09350659265442501,4893028874388.19
7.152,1.5692604175495322,-18.153122155622555,-21.749475808718636,28.329764241006163,802.5755419509916,0.08564918484332282,4527937866504.041
7.1530000000000005,1.569479833156013,-18.163087440835028,-21.9283836539307,28.473702868741785,810.7517550573942,0.07427159570223353,3966449745690.451
7.154,1.5696992487624934,-18.171601079764322,-22.107243799479868,28.617080812195592,818.9373142117331,0.06050193768874408,3263707638035.9033
7.155,1.5699186643689742,-18.178665094317747,-22.286046586296052,28.759898071062842,827.1317370579242,0.04567316416056684,2488439514094.302
7.156000000000001,1.570138079975455,-18.18428156533036,-22.464782377026193,28.90215464795592,835.3345432943601,0.031189899017619212,1716191369780.4026
7.157,1.5703574955819355,-18.188452632385314,-22.643441556383483,29.04385054840144,843.5452546778787,0.018391517517691226,1021920840126.513
7.158,1.570576911188416,-18.19118049364461,-22.822014531492062,29.18498578084271,851.7633950279911,0.008424698385184684,472677181984.665
7.159,1.5707963267948966,-18.19246740566023,-23.00049173223213,29.32556035663238,859.9884902304887,0.002137453603883728,121082293738.79839
7.16,1.5710157424013773,-18.192315683200952,-23.17886361158268,29.46557429003533,868.2200682415911,4.308684730176537e-06,246414262.708225
7.1610000000000005,1.571235158007858,-18.19072769906709,-23.35712064596411,29.60502759822611,876.4576590917295,0.0020891009897692926,120609545090.9782
7.162,1.5714545736143386,-18.187705883904258,-23.5352533355788,29.743920301286423,884.7007948892785,0.008048112597716397,469009635709.55554
7.163,1.5716739892208194,-18.18325272601908,-23.713252204751278,29.882252422205756,892.9490098244218,0.017172327684618266,1010059903544.7666
7.164000000000001,1.5718934048273001,-18.177370771186883,-23.891107802264834,30.020023986876474,901.2018401726389,0.028463881417949467,1689691795575.2637
7.165,1.5721128204337804,-18.170062622462687,-24.068810701700013,30.157235024094707,909.4588242984845,0.040738599100007634,2440509125089.616
7.166,1.5723322360402612,-18.16133093999044,-24.246351501769745,30.293885565559698,917.7195026592262,0.052744201302170515,3188423382424.89
7.167,1.5725516516467417,-18.151178440804625,-24.42372082665203,30.429975645868776,925.9834178081668,0.06328247658087008,3859917129418.6616
7.168,1.5727710672532225,-18.13960789863605,-24.60090932632486,30.565505302518996,934.2501143983169,0.07132359712868222,4389223562788.1143
7.1690000000000005,1.5729904828597032,-18.126622143711778,-24.77790767689632,30.70047457590354,942.5191391856997,0.07610176174708613,4724721268626.084
7.17,1.5732098984661838,-18.11222406255703,-24.954706580934875,30.834883509311727,950.7900410328242,0.07718337405590163,4833922551176.093
7.171,1.5734293140726645,-18.096416597788853,-25.131296767798595,30.9687321489255,959.0623709118919,0.0745017867696717,4706573489122.43
7.172,1.573648729679145,-18.079202747917922,-25.307668993961258,31.102020543820476,967.335681908231,0.06835597822130282,4355570167813.296
7.173,1.5738681452856256,-18.060585567133558,-25.483814043339667,31.234748745960307,975.609529223269,0.059374045179185375,3815609981861.534
7.174,1.5740875608921063,-18.040568165106713,-25.659722727616224,31.36691681019998,983.8834701780062,0.04844575586459939,3139718446382.515
7.175,1.5743069764985869,-18.019153706769735,-25.83538588656379,31.498524794279703,992.1570642158532,0.03663129052944271,2393998931345.122
7.176,1.5745263921050676,-17.996345412110703,-26.010794388366186,31.629572758825876,1000.42987290586,0.02505543766234979,1651124982751.8374
7.1770000000000005,1.5747458077115484,-17.97214655595997,-26.185939129937978,31.76006076734931,1008.7014599457208,0.014797721956245766,983215726079.8942
7.178,1.574965223318029,-17.946560467769675,-26.360811037243728,31.889988886241152,1016.9713911645842,0.006789118732936004,454792656767.6584
7.179,1.5751846389245094,-17.919590531403752,-26.53540106561435,32.019357184774684,1025.2392345261821,0.0017251621558781948,116505504382.14046
7.18,1.57540405453099,-17.89124018491178,-26.70970020006434,32.14816573510095,1033.504560131519,3.482939523138384e-06,237109871.29681373
7.181,1.5756234701374707,-17.861512920313555,-26.883699455604265,32.276414612248765,1041.7669402217855,0.0016913034994595932,116060228901.34671
7.182,1.5758428857439515,-17.830412283373413,-27.057389877553682,32.40410389412147,1050.0259491810182,0.006525429469403718,451336478285.29565
7.183,1.576062301350432,-17.797941873377226,-27.230762541852975,32.53123366149673,1058.2811635388978,0.013944102227097516,972037294990.7324
7.184,1.5762817169569128,-17.764105342904482,-27.403808555371615,32.65780399802268,1066.532161973266,0.023147025515596484,1626149428454.2612
7.1850000000000005,1.5765011325633935,-17.728906397602362,-27.57651905621826,32.783814990219106,1074.778525312915,0.03317724072648247,2348824392334.15
7.186,1.5767205481698738,-17.692348795953556,-27.748885214044357,32.909266727471895,1083.0198365398887,0.04301654511774387,3068762244036.892
7.187,1.5769399637763546,-17.6544363490488,-27.92089823035244,33.03415930203633,1091.2556807923133,0.05168500263562166,3715201422448.0396
7.188,1.5771593793828351,-17.615172920349032,-28.0925493387963,33.15849280903012,1099.4856453665022,0.05833488213056995,4224829552932.6846
7.189,1.5773787949893159,-17.57456242545416,-28.26382980548481,33.282267346435354,1107.709319719597,0.062330075764021727,4547940439783.059
7.19,1.5775982105957966,-17.53260883186238,-28.43473092928172,33.40548301509423,1115.926295471749,0.06330361496854209,4653238648783.947
7.191,1.5778176262022772,-17.489316158735583,-28.60524404210276,33.528139918708064,1124.1361664084652,0.061188146557781514,4530827446759.836
7.192,1.578037041808758,-17.444688476658953,-28.7753605092154,33.65023816383758,1132.338528482991,0.05621692936768142,4193095067324.4146
7.1930000000000005,1.5782564574152385,-17.398729907395044,-28.94507172953184,33.77177785989696,1140.5329798182263,0.04889579479579453,3673420640291.31
7.194,1.578475873021719,-17.35144462364758,-29.114369135902542,33.89275911915557,1148.719120709103,0.039949302523560416,3022834397142.339
7.195,1.5786952886281997,-17.30283684880708,-29.28324419541154,34.013182056734124,1156.89655362454,0.03024674946369231,2304966089176.7427
7.196,1.5789147042346803,-17.252910856713626,-29.45168840966212,34.13304679060357,1165.0648832095328,0.02071552889778161,1589781512047.6843
7.197,1.579134119841161,-17.201670971401107,-29.61969331507042,34.2523534415837,1173.2237162871709,0.012250421631442236,946723535778.0227
7.198,1.5793535354476418,-17.149121566852138,-29.787250483148355,34.37110213334008,1181.372661860495,0.005627640886012557,437929898885.7829
7.199,1.5795729510541223,-17.095267066742828,-29.954351520791096,34.48929299238217,1189.5113311143818,0.0014318393702933462,112190010120.35214
